iter	Passed	Remaining
0	136	136409
1	141	70633
2	147	48868
3	151	37830
4	157	31401
5	160	26665
6	163	23167
7	165	20520
8	167	18478
9	170	16845
10	171	15422
11	172	14238
12	174	13228
13	175	12349
14	176	11589
15	177	10928
16	179	10353
17	181	9904
18	182	9440
19	184	9018
20	185	8633
21	186	8284
22	187	7964
23	188	7674
24	189	7407
25	191	7163
26	193	6979
27	194	6764
28	195	6562
29	197	6373
30	198	6193
31	199	6030
32	200	5876
33	201	5733
34	203	5602
35	205	5502
36	206	5376
37	207	5258
38	208	5146
39	209	5037
40	211	4936
41	212	4843
42	213	4751
43	214	4668
44	216	4603
45	219	4545
46	220	4468
47	221	4392
48	222	4319
49	223	4251
50	224	4184
51	225	4119
52	226	4054
53	228	4006
54	230	3964
55	232	3911
56	233	3859
57	234	3808
58	235	3760
59	236	3711
60	238	3665
61	239	3620
62	240	3580
63	243	3557
64	244	3518
65	245	3478
66	247	3441
67	247	3395
68	248	3358
69	250	3322
70	251	3289
71	252	3260
72	254	3234
73	256	3205
74	257	3175
75	258	3144
76	259	3115
77	261	3085
78	262	3056
79	263	3028
80	264	3005
81	266	2986
82	268	2966
83	269	2940
84	270	2911
85	271	2887
86	272	2859
87	273	2836
88	274	2813
89	276	2792
90	278	2779
91	280	2764
92	281	2744
93	282	2723
94	283	2703
95	284	2682
96	286	2663
97	287	2644
98	288	2624
99	289	2607
100	292	2605
101	293	2583
102	294	2565
103	295	2548
104	296	2531
105	298	2514
106	299	2497
107	300	2480
108	301	2467
109	303	2458
110	305	2447
111	306	2431
112	307	2414
113	308	2398
114	309	2382
115	310	2365
116	311	2351
117	312	2337
118	313	2321
119	314	2309
120	317	2307
121	318	2294
122	319	2277
123	320	2264
124	321	2251
125	322	2238
126	323	2226
127	324	2211
128	325	2199
129	327	2193
130	330	2193
131	332	2183
132	333	2171
133	334	2160
134	335	2149
135	336	2137
136	337	2126
137	338	2114
138	339	2105
139	341	2099
140	344	2095
141	345	2085
142	346	2074
143	347	2064
144	348	2054
145	349	2044
146	350	2034
147	351	2025
148	353	2021
149	356	2018
150	357	2009
151	358	1999
152	359	1990
153	360	1980
154	361	1971
155	362	1962
156	363	1954
157	365	1945
158	366	1938
159	368	1935
160	369	1927
161	371	1919
162	372	1910
163	373	1902
164	374	1894
165	375	1885
166	376	1877
167	377	1870
168	379	1865
169	381	1861
170	382	1854
171	383	1846
172	384	1839
173	385	1831
174	386	1823
175	387	1816
176	389	1809
177	390	1801
178	391	1795
179	394	1794
180	394	1785
181	395	1779
182	396	1771
183	397	1764
184	398	1757
185	400	1750
186	401	1744
187	402	1737
188	403	1731
189	405	1728
190	407	1727
191	408	1720
192	409	1714
193	411	1707
194	412	1701
195	413	1695
196	414	1689
197	415	1683
198	416	1677
199	418	1675
200	420	1671
201	421	1665
202	422	1659
203	423	1653
204	424	1647
205	426	1642
206	427	1636
207	428	1630
208	429	1627
209	432	1625
210	433	1619
211	434	1614
212	435	1608
213	436	1603
214	437	1598
215	439	1593
216	440	1589
217	442	1585
218	443	1582
219	445	1579
220	446	1574
221	447	1569
222	448	1564
223	450	1559
224	451	1554
225	452	1549
226	453	1544
227	455	1542
228	457	1539
229	458	1534
230	459	1529
231	460	1524
232	461	1519
233	462	1514
234	463	1509
235	464	1504
236	465	1499
237	467	1498
238	470	1496
239	471	1492
240	472	1488
241	473	1483
242	474	1479
243	476	1474
244	477	1470
245	478	1465
246	479	1462
247	482	1461
248	483	1457
249	484	1453
250	485	1448
251	486	1443
252	487	1439
253	488	1434
254	489	1429
255	490	1425
256	491	1421
257	493	1419
258	495	1418
259	496	1414
260	498	1410
261	499	1405
262	500	1401
263	501	1397
264	502	1393
265	503	1389
266	504	1385
267	506	1383
268	508	1382
269	510	1378
270	511	1375
271	512	1371
272	513	1367
273	514	1363
274	515	1359
275	516	1355
276	518	1352
277	521	1353
278	522	1350
279	523	1346
280	524	1342
281	525	1338
282	526	1334
283	527	1330
284	528	1327
285	529	1323
286	531	1319
287	533	1318
288	535	1316
289	536	1312
290	537	1308
291	538	1305
292	539	1301
